Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.9,109685225789,247,444069740.0,88486.0,1002,11047839463,1475404684.1,futex
2.7,3052269233,85,35909049.8,7070645.0,7054145,2000066753,216470459.7,pthread_cond_timedwait
0.6,743255450,26,28586748.1,10433055.5,12603,473975447,91202035.0,pthread_cond_wait
0.3,314329234,349,900656.8,10199.0,1002,21271840,3568790.0,poll
0.2,284182972,1907,149021.0,19376.0,1022,29882013,724581.9,ioctl
0.2,231496282,23,10065055.7,10063640.0,10057198,10079139,6219.9,usleep
0.0,23803638,22155,1074.4,1042.0,1001,24707,287.1,openat64
0.0,10062257,1,10062257.0,10062257.0,10062257,10062257,0.0,nanosleep
0.0,3178651,81,39242.6,33343.0,26369,91832,13625.2,pthread_create
0.0,2886714,235,12283.9,2574.0,1001,741025,50962.3,read
0.0,2786027,18,154779.3,15293.5,1052,1709656,422848.8,ppoll
0.0,2569524,149,17245.1,6472.0,1623,226594,37551.2,mmap64
0.0,1432407,553,2590.2,1843.0,1002,60172,3967.6,open64
0.0,1015166,166,6115.5,1447.0,1001,319508,26108.8,close
0.0,876780,548,1600.0,1493.0,1022,9447,614.7,fopen
0.0,823467,340,2422.0,1383.0,1002,64320,5633.1,recvmsg
0.0,763586,472,1617.8,1412.5,1092,19797,1159.1,open
0.0,685529,130,5273.3,3597.0,1743,69640,7603.5,munmap
0.0,503944,204,2470.3,2354.0,1522,13405,1248.3,fopen64
0.0,495545,261,1898.6,1553.0,1082,8345,867.6,writev
0.0,491677,317,1551.0,1332.0,1042,8235,743.9,fread
0.0,470493,137,3434.3,2525.0,1653,18645,2271.8,mmap
0.0,468014,4,117003.5,64635.5,58860,279883,108699.5,sem_wait
0.0,445684,214,2082.6,1262.0,1012,54401,4116.9,recv
0.0,354893,20,17744.7,17197.0,9568,33403,5382.3,sem_timedwait
0.0,353741,12,29478.4,4092.5,1072,292657,83008.2,pthread_mutex_lock
0.0,321881,3,107293.7,106589.0,75120,140172,32531.7,pthread_join
0.0,291867,130,2245.1,1503.0,1052,12603,1848.2,fclose
0.0,276167,89,3103.0,2425.0,1313,11862,1829.7,mprotect
0.0,217148,89,2439.9,1893.0,1042,7484,1446.0,send
0.0,213216,42,5076.6,4653.5,1042,24435,4508.3,fstat64
0.0,168343,52,3237.4,1493.0,1002,13425,2966.9,stat64
0.0,166923,32,5216.3,3506.0,1002,14698,4171.2,fflush
0.0,158553,49,3235.8,1893.0,1002,22532,3786.6,getc
0.0,110887,22,5040.3,4167.5,2134,11622,2487.3,pthread_kill
0.0,87251,17,5132.4,3777.0,2154,12824,2933.7,socket
0.0,80880,44,1838.2,1538.0,1012,3968,718.8,write
0.0,74547,14,5324.8,5805.5,1733,10520,2627.7,connect
0.0,71494,14,5106.7,5285.0,1152,7174,1500.6,pthread_mutex_trylock
0.0,67676,25,2707.0,2444.0,1002,7404,1759.4,fgets
0.0,67608,25,2704.3,2815.0,1022,5401,1120.4,sendmsg
0.0,49624,22,2255.6,1864.0,1312,8045,1493.3,pthread_cond_broadcast
0.0,40325,9,4480.6,3977.0,2875,6222,1216.7,socketpair
0.0,23865,7,3409.3,3377.0,1212,5861,1991.9,statx
0.0,22030,4,5507.5,5299.5,4058,7373,1462.4,pipe2
0.0,18084,4,4521.0,4764.0,3587,4969,637.1,memfd_create
0.0,13406,10,1340.6,1332.5,1002,1834,294.3,fcntl64
0.0,7775,3,2591.7,2946.0,1513,3316,952.3,lockf
0.0,6712,1,6712.0,6712.0,6712,6712,0.0,fstat
0.0,6262,1,6262.0,6262.0,6262,6262,0.0,bind
0.0,5109,1,5109.0,5109.0,5109,5109,0.0,fgetc
0.0,5030,1,5030.0,5030.0,5030,5030,0.0,posix_fallocate
0.0,4749,2,2374.5,2374.5,1953,2796,596.1,ftruncate
0.0,4428,1,4428.0,4428.0,4428,4428,0.0,signal
0.0,3977,2,1988.5,1988.5,1803,2174,262.3,prctl
0.0,3728,3,1242.7,1333.0,1042,1353,174.1,stat
0.0,3516,3,1172.0,1162.0,1002,1352,175.2,fcntl
0.0,2685,1,2685.0,2685.0,2685,2685,0.0,dup2
0.0,2284,1,2284.0,2284.0,2284,2284,0.0,flock
0.0,2194,2,1097.0,1097.0,1012,1182,120.2,shutdown
0.0,2184,2,1092.0,1092.0,1002,1182,127.3,pthread_barrier_wait
0.0,1353,1,1353.0,1353.0,1353,1353,0.0,sigaction
0.0,1182,1,1182.0,1182.0,1182,1182,0.0,pthread_cond_signal
