Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.2,77035025207,12895,5974022.9,6226298.0,71344,1181173209,10407753.0,vkWaitForFences
3.2,2606801836,13556,192298.7,23724.0,10079,7203784,1050221.3,vkQueuePresentKHR
0.8,684409222,27112,25243.8,13260.0,2424,2694446,27619.4,vkQueueSubmit
0.2,162349177,1,162349177.0,162349177.0,162349177,162349177,0.0,vkCreateDevice
0.2,135602212,341,397660.4,242924.0,221454,24310219,1397552.4,vkCreateFence
0.1,103055413,40679,2533.4,1763.0,431,2049100,17161.0,vkBeginCommandBuffer
0.1,77015589,1,77015589.0,77015589.0,77015589,77015589,0.0,vkCreateSwapchainKHR
0.0,29754572,40679,731.4,632.0,140,115917,1170.5,vkEndCommandBuffer
0.0,29045294,27027,1074.7,992.0,351,36418,921.3,vkCmdBindPipeline
0.0,18761537,40800,459.8,391.0,110,97201,990.4,vkCmdPipelineBarrier
0.0,16356988,13556,1206.6,1062.0,431,110967,2095.1,vkAcquireNextImageKHR
0.0,15065229,22,684783.1,648491.5,53490,1870827,451826.1,vkAllocateMemory
0.0,8777401,687,12776.4,12083.0,3536,66945,3687.2,vkAllocateCommandBuffers
0.0,5070296,8,633787.0,682761.0,119393,838968,215524.1,vkFreeMemory
0.0,1140167,239,4770.6,1222.0,1001,195726,13879.5,vkCmdBindDescriptorSets
0.0,840766,687,1223.8,221.0,90,10059,1561.3,vkCreateCommandPool
0.0,764088,3,254696.0,14507.0,3607,745974,425494.1,vkAllocateDescriptorSets
0.0,380461,3,126820.3,117680.0,110266,152515,22558.9,vkCreateGraphicsPipelines
0.0,273311,1,273311.0,273311.0,273311,273311,0.0,vkQueueWaitIdle
0.0,235621,106,2222.8,2134.0,170,11221,2049.7,vkCreateImage
0.0,168232,111,1515.6,741.0,340,9107,1594.3,vkCreateImageView
0.0,107699,34,3167.6,2870.5,1082,6623,982.9,vkCreateSemaphore
0.0,86890,106,819.7,581.0,361,4268,707.9,vkBindImageMemory
0.0,45377,50,907.5,817.0,341,2124,476.4,vkBindBufferMemory
0.0,36440,6,6073.3,4278.5,1814,18985,6477.4,vkCreateShaderModule
0.0,30529,50,610.6,426.0,120,1983,451.6,vkCreateBuffer
0.0,26790,8,3348.8,1247.0,431,14427,4888.3,vkCreateRenderPass2KHR
0.0,17601,22,800.0,606.5,90,5380,1062.3,vkUpdateDescriptorSetWithTemplateKHR
0.0,3527,17,207.5,191.0,30,641,164.5,vkMapMemory
0.0,2295,7,327.9,351.0,220,481,91.2,vkUnmapMemory
0.0,381,1,381.0,381.0,381,381,0.0,vkCreateFramebuffer
