Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.6,600536270822,294931,2036192.4,83376.0,1001,11949169945,103649678.6,pthread_cond_wait
12.6,102507542226,21998,4659857.4,955280.5,1001,10026555313,74393737.7,pthread_cond_timedwait
5.5,44502791135,13049,3410436.9,1453.0,1001,11753050441,103680620.5,poll
2.8,22497155736,2844,7910392.3,6308789.5,6259628,13658685,1861319.5,usleep
1.5,12128603443,5,2425720688.6,11877826.0,347760,12092645848,5403977863.3,sem_wait
1.5,11873505308,121,98128143.0,100109472.0,1563,102009533,13389021.8,select
1.1,9136705014,7227,1264245.9,1055382.0,1003927,200089583,5334533.2,nanosleep
1.0,7954907910,949,8382410.9,167743.0,1002,114550329,17174224.3,pthread_rwlock_wrlock
0.2,1617017606,15550,103988.3,8907.0,1001,53401686,1737144.0,pthread_mutex_lock
0.1,1007831079,621054,1622.8,1232.0,1021,433110,1480.9,backtrace
0.1,887761177,7109,124878.5,22281.0,1002,5900677,273454.1,ioctl
0.1,597740451,806,741613.5,38412.0,1002,10650222,1380353.1,pthread_rwlock_rdlock
0.0,321704681,190892,1685.3,1402.0,1001,2777832,6658.3,pthread_cond_broadcast
0.0,176520705,17458,10111.2,6753.0,1001,14714919,113239.8,read
0.0,168347128,81,2078359.6,137297.0,6502,47196219,8673092.4,pthread_join
0.0,56685129,17970,3154.4,2675.0,1132,198231,2651.2,open
0.0,36826359,2858,12885.4,7333.5,4598,14347242,268237.8,accept
0.0,32925272,19470,1691.1,1393.0,1001,511155,4654.5,pthread_cond_signal
0.0,32777790,29715,1103.1,1052.0,1001,24416,301.1,openat64
0.0,31806884,3832,8300.3,3266.0,1142,2086840,78000.1,send
0.0,20845334,972,21445.8,6016.0,1443,2065250,81210.8,munmap
0.0,17524676,1134,15453.9,2294.0,1001,13924121,413404.3,open64
0.0,16992967,8639,1967.0,1333.0,1001,95338,2218.6,recvmsg
0.0,16540943,657,25176.5,14507.0,1082,2422076,109799.1,fwrite
0.0,13651092,3342,4084.7,3917.0,1223,184905,3428.7,writev
0.0,13059446,7363,1773.7,1312.0,1001,346617,9409.2,close
0.0,9948522,1380,7209.1,2525.0,1442,3817374,107927.0,fflush
0.0,8667482,3318,2612.3,1522.0,1001,1576266,33796.2,write
0.0,8182173,332,24645.1,6602.0,2224,2694535,155893.4,mmap64
0.0,7555129,13,581163.8,531693.0,412481,1093925,174340.9,fdatasync
0.0,2940109,82,35855.0,30226.5,13756,274694,29562.0,pthread_create
0.0,2405376,54,44544.0,1212.5,1002,2254934,306533.0,fgets
0.0,1826800,877,2083.0,1593.0,1002,112881,3983.7,fopen
0.0,1568152,536,2925.7,1888.0,1002,153327,6975.4,mmap
0.0,1488803,8,186100.4,132758.0,1102,616592,224937.3,futex
0.0,1473389,255,5778.0,3296.0,1042,42118,7330.6,mprotect
0.0,1049989,684,1535.1,1333.0,1012,7284,721.1,fread
0.0,766475,307,2496.7,1392.0,1001,74369,4794.8,recv
0.0,581676,276,2107.5,1863.5,1432,14067,986.9,fopen64
0.0,497972,208,2394.1,1513.0,1012,27972,2644.8,fclose
0.0,469076,4,117269.0,116547.5,13776,222205,115738.1,sem_timedwait
0.0,134113,41,3271.0,3977.0,1012,10450,2444.0,stat64
0.0,112011,42,2666.9,1553.0,1002,9709,1912.5,fstat64
0.0,103293,1,103293.0,103293.0,103293,103293,0.0,popen
0.0,99900,18,5550.0,4393.5,2495,13957,3053.3,socket
0.0,90499,31,2919.3,2395.0,1102,6753,1727.2,sendmsg
0.0,72786,14,5199.0,5195.0,1012,9678,2444.5,connect
0.0,71996,7,10285.1,8186.0,3166,29866,9253.4,ftruncate
0.0,40037,7,5719.6,5220.0,2856,8877,2158.0,socketpair
0.0,21079,12,1756.6,1172.0,1052,4098,1122.5,statx
0.0,18413,4,4603.3,4748.5,1473,7443,2443.0,bind
0.0,17864,4,4466.0,3952.5,1082,8877,3967.9,stat
0.0,11912,3,3970.7,1312.0,1012,9588,4867.1,sigaction
0.0,10348,3,3449.3,3977.0,1052,5319,2181.9,getdelim
0.0,9979,5,1995.8,1834.0,1122,3427,861.8,flock
0.0,9658,4,2414.5,2329.0,1613,3387,730.9,lockf
0.0,6803,1,6803.0,6803.0,6803,6803,0.0,memfd_create
0.0,6763,4,1690.8,1317.5,1002,3126,976.6,shutdown
0.0,6222,1,6222.0,6222.0,6222,6222,0.0,pipe2
0.0,5550,4,1387.5,1452.5,1062,1583,226.1,fcntl64
0.0,4799,1,4799.0,4799.0,4799,4799,0.0,pipe
0.0,4108,2,2054.0,2054.0,1062,3046,1402.9,getc
0.0,3847,3,1282.3,1222.0,1032,1593,285.3,pthread_mutex_trylock
0.0,2094,1,2094.0,2094.0,2094,2094,0.0,listen
0.0,1122,1,1122.0,1122.0,1122,1122,0.0,prctl
0.0,1021,1,1021.0,1021.0,1021,1021,0.0,fcntl
