Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.9,20638314576,230,89731802.5,68915663.0,2133988,326371605,67952409.0,vkCreateComputePipelines
46.6,19692005329,805,24462118.4,13866023.0,2996,237456733,34442454.1,vkCreateGraphicsPipelines
1.4,578382777,1,578382777.0,578382777.0,578382777,578382777,0.0,vkCreateDevice
0.5,228849585,2858,80073.3,76994.0,18234,1065702,32969.1,vkQueuePresentKHR
0.5,213757378,46928,4555.0,2725.0,1653,1074488,8613.4,vkQueueSubmit
0.4,159896427,620927,257.5,190.0,40,108983,340.2,vkCmdBindPipeline
0.4,159286991,1,159286991.0,159286991.0,159286991,159286991,0.0,vkDestroyDevice
0.3,126375275,436832,289.3,200.0,80,142787,705.3,vkCmdPipelineBarrier2KHR
0.2,80310884,46929,1711.3,1463.0,230,448247,3000.5,vkBeginCommandBuffer
0.1,63269467,2,31634733.5,31634733.5,4798067,58471400,37952777.7,vkCreateSwapchainKHR
0.1,58286455,46928,1242.0,651.0,80,69711,2031.1,vkEndCommandBuffer
0.1,56955396,97,587169.0,213649.0,51707,9314917,1214901.9,vkAllocateMemory
0.1,37211410,3189,11668.7,491.0,280,2368466,121145.7,vkWaitForFences
0.1,34712642,96,361590.0,101870.5,36909,2905680,549970.1,vkFreeMemory
0.1,25770399,32,805325.0,357944.0,215773,14322325,2471356.3,vkCreateFence
0.0,20230742,11447,1767.3,1924.0,672,48170,1017.4,vkGetAccelerationStructureBuildSizesKHR
0.0,14080023,566,24876.4,15308.0,932,184234,27538.5,vkCreateShaderModule
0.0,13632437,5,2726487.4,1936199.0,1715185,5145847,1441226.1,vkDeviceWaitIdle
0.0,13233723,32,413553.8,330327.0,307505,800456,160089.2,vkDestroyFence
0.0,5886396,1014,5805.1,1082.0,190,1481658,56313.4,vkCreateImageView
0.0,5538631,2858,1937.9,911.0,651,2632219,49241.0,vkAcquireNextImageKHR
0.0,5368346,383,14016.6,681.0,411,1720125,112862.6,vkBindImageMemory
0.0,3544843,10546,336.1,241.0,40,54021,644.8,vkCreateBuffer
0.0,2907360,6961,417.7,361.0,60,6031,237.0,vkCreateAccelerationStructureKHR
0.0,2084957,6961,299.5,251.0,40,8546,191.2,vkDestroyAccelerationStructureKHR
0.0,1026751,10497,97.8,40.0,30,18906,253.0,vkBindBufferMemory2
0.0,923095,2857,323.1,290.0,150,14918,329.9,vkResetEvent
0.0,902569,2858,315.8,290.0,230,2515,93.2,vkCmdPipelineBarrier
0.0,837483,383,2186.6,1122.0,201,65332,3821.0,vkCreateImage
0.0,688105,3665,187.8,170.0,20,5029,142.2,vkResetQueryPoolEXT
0.0,379150,272,1393.9,1192.0,1002,6222,652.7,vkGetQueryPoolResults
0.0,251291,84,2991.6,916.5,230,26129,4053.5,vkAllocateCommandBuffers
0.0,210654,106,1987.3,1538.0,1002,4969,946.6,vkCreateEvent
0.0,93734,53,1768.6,1603.0,441,3667,872.1,vkCreateRenderPass2KHR
0.0,51256,49,1046.0,1042.0,471,1723,295.3,vkBindBufferMemory
0.0,40185,15,2679.0,1483.0,1002,16982,4019.8,vkDestroyEvent
0.0,39194,123,318.7,191.0,50,3367,465.9,vkCreateFramebuffer
0.0,5190,2,2595.0,2595.0,1142,4048,2054.9,vkCreateSemaphore
0.0,4007,27,148.4,100.0,40,692,145.9,vkMapMemory
0.0,2756,2,1378.0,1378.0,1233,1523,205.1,vkDestroySemaphore
0.0,1823,2,911.5,911.5,831,992,113.8,vkTrimCommandPool
0.0,1392,8,174.0,150.0,130,350,73.7,vkUnmapMemory
0.0,1303,1,1303.0,1303.0,1303,1303,0.0,vkCreateCommandPool
