Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.2,882304088002,1166913,756101.0,81462.0,1001,7559143983,12240943.4,pthread_cond_wait
21.0,292653885125,68267,4286901.2,807442.0,1001,2000062469,37737382.8,pthread_cond_timedwait
7.5,104841486605,91004,1152053.6,20959.0,1001,100202074,8650331.1,poll
4.9,67734436293,8697,7788253.0,6307024.0,6255048,10300238,1834125.8,usleep
2.5,34536907707,346,99817652.3,100108789.5,2816,100189751,5381658.2,select
0.3,4645633931,1571,2957119.0,14076.0,1002,42138249,7473785.3,pthread_rwlock_wrlock
0.3,3536426442,2306885,1533.0,1182.0,991,1362810,1510.7,backtrace
0.1,1059145369,668650,1584.0,1362.0,1001,715068,1528.2,pthread_cond_broadcast
0.1,988864255,209,4731407.9,1055376.0,1014959,200057791,19895982.3,nanosleep
0.1,798111557,50557,15786.4,8285.0,1001,8524665,131331.0,pthread_mutex_lock
0.0,611701922,5111,119683.4,25978.0,1002,31632084,622639.5,ioctl
0.0,376848621,60069,6273.6,6532.0,1001,405709,5146.3,read
0.0,258671149,1225,211160.1,9288.0,1032,4226160,544261.6,pthread_rwlock_rdlock
0.0,216400027,66377,3260.2,2605.0,1002,15570944,60498.3,open
0.0,111076542,69883,1589.5,1353.0,1001,135153,1407.8,pthread_cond_signal
0.0,87668535,4,21917133.8,21504729.5,59000,44600076,25244809.2,pthread_join
0.0,76843593,10735,7158.2,6763.0,3286,41598,1991.5,accept
0.0,49215712,27008,1822.3,1233.0,1001,85209,1666.7,recvmsg
0.0,44304559,11139,3977.4,3817.0,1032,111409,1700.7,writev
0.0,42663686,12430,3432.3,3266.0,1042,104415,1895.8,send
0.0,30965733,22153,1397.8,1312.0,1001,178734,1455.8,close
0.0,29504432,27813,1060.8,1032.0,1001,11281,189.5,openat64
0.0,27256936,4,6814234.0,8394872.5,312655,10154536,4413578.4,sem_wait
0.0,17492819,10623,1646.7,1462.0,1001,107611,2484.7,write
0.0,7107260,632,11245.7,4283.0,1583,176601,20095.6,munmap
0.0,5922929,294,20146.0,6432.0,1994,937504,77467.0,mmap64
0.0,5164606,1253,4121.8,1803.0,1011,132007,6746.5,fread
0.0,3959351,6,659891.8,631301.5,584835,828932,87442.6,fdatasync
0.0,3216472,83,38752.7,30297.0,13496,331160,37514.3,pthread_create
0.0,2682191,56,47896.3,1333.0,1002,2495521,333101.4,fgets
0.0,2655718,836,3176.7,2304.0,1001,47409,3405.4,open64
0.0,1652463,481,3435.5,1983.0,1001,292447,13794.6,mmap
0.0,1568473,786,1995.5,1603.0,1001,21009,1474.4,fopen
0.0,1126920,4,281730.0,148122.5,1463,829212,390211.3,futex
0.0,616506,195,3161.6,2665.0,1242,10821,1893.0,mprotect
0.0,615352,2,307676.0,307676.0,299200,316152,11986.9,sem_timedwait
0.0,530662,274,1936.7,1663.5,1272,5360,615.6,fopen64
0.0,524552,49,10705.1,8746.0,1002,23504,6281.1,fwrite
0.0,441809,102,4331.5,2685.0,2175,15509,2957.4,fflush
0.0,409157,193,2120.0,1423.0,1001,12915,2003.4,fclose
0.0,390698,251,1556.6,1182.0,1052,14697,1534.4,recv
0.0,134752,1,134752.0,134752.0,134752,134752,0.0,popen
0.0,121057,36,3362.7,3767.0,1002,10189,2399.8,stat64
0.0,84727,16,5295.4,5144.5,2655,10630,2359.5,socket
0.0,81942,33,2483.1,1884.0,1002,5591,1310.3,sendmsg
0.0,78662,27,2913.4,3376.0,1002,5932,1820.4,fstat64
0.0,60112,11,5464.7,5851.0,1814,9257,2203.0,connect
0.0,47769,4,11942.3,5981.0,4288,31519,13127.8,ftruncate
0.0,37511,7,5358.7,4409.0,2505,12593,3297.7,socketpair
0.0,19687,4,4921.8,5515.0,1463,7194,2580.7,bind
0.0,10198,4,2549.5,2374.0,1022,4428,1621.9,statx
0.0,9979,2,4989.5,4989.5,4178,5801,1147.6,getdelim
0.0,8647,4,2161.8,1568.0,1092,4419,1522.7,getc
0.0,6852,4,1713.0,1923.5,1001,2004,477.3,lockf
0.0,5390,1,5390.0,5390.0,5390,5390,0.0,pipe2
0.0,5109,1,5109.0,5109.0,5109,5109,0.0,memfd_create
0.0,4057,1,4057.0,4057.0,4057,4057,0.0,pipe
0.0,3827,3,1275.7,1132.0,1082,1613,293.2,sigaction
0.0,3796,2,1898.0,1898.0,1793,2003,148.5,flock
0.0,3556,3,1185.3,1222.0,1052,1282,119.3,stat
0.0,2244,2,1122.0,1122.0,1082,1162,56.6,fcntl
0.0,1583,1,1583.0,1583.0,1583,1583,0.0,pthread_mutex_trylock
0.0,1552,1,1552.0,1552.0,1552,1552,0.0,listen
