Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.1,4408914080,233,18922378.0,13455046.0,185617,56011291,14760998.1,vkCreateComputePipelines
11.2,1045885246,797,1312277.6,92924.0,3105,36430873,4324767.0,vkCreateGraphicsPipelines
9.5,888494352,11531,77052.7,76452.0,16360,900363,19476.1,vkQueuePresentKHR
7.8,731581920,186589,3920.8,2625.0,1593,1639285,5212.1,vkQueueSubmit
6.4,595380851,2528014,235.5,170.0,40,182351,323.2,vkCmdBindPipeline
5.8,541364941,1,541364941.0,541364941.0,541364941,541364941,0.0,vkCreateDevice
5.2,485559049,1798810,269.9,190.0,80,941591,933.6,vkCmdPipelineBarrier2KHR
2.0,188899262,186590,1012.4,942.0,220,901967,2432.1,vkBeginCommandBuffer
1.3,120960739,186589,648.3,330.0,80,120916,1027.9,vkEndCommandBuffer
0.9,81326038,46147,1762.3,1944.0,741,82524,908.0,vkGetAccelerationStructureBuildSizesKHR
0.7,61601253,3,20533751.0,3293287.0,3013755,55294211,30103765.9,vkCreateSwapchainKHR
0.5,42258552,11627,3634.5,461.0,301,2606383,62274.9,vkWaitForFences
0.4,37227731,95,391870.9,141975.0,37510,4369409,644086.2,vkAllocateMemory
0.2,19195932,33,581694.9,325579.0,208410,8169945,1367481.9,vkCreateFence
0.1,13706556,582,23550.8,13626.0,531,241291,29168.6,vkCreateShaderModule
0.1,13512957,9203,1468.3,1252.0,1001,37961,840.0,vkGetQueryPoolResults
0.1,10527142,26275,400.7,360.0,110,90429,610.2,vkCreateAccelerationStructureKHR
0.1,10302597,11531,893.5,842.0,622,7554,252.1,vkAcquireNextImageKHR
0.1,9980822,23707,421.0,250.0,40,17412,457.5,vkCreateBuffer
0.1,7822356,4,1955589.0,1670954.5,1551050,2929397,651664.2,vkDeviceWaitIdle
0.1,7818709,23063,339.0,310.0,40,9368,202.2,vkDestroyAccelerationStructureKHR
0.1,6815677,572,11915.5,455.5,400,1607465,91981.0,vkBindImageMemory
0.1,5674639,1485,3821.3,732.0,180,1609990,47166.1,vkCreateImageView
0.0,4289993,11532,372.0,281.0,120,34204,391.2,vkResetEvent
0.0,3529485,11533,306.0,281.0,230,39935,389.2,vkCmdPipelineBarrier
0.0,3285335,23663,138.8,41.0,30,38682,337.6,vkBindBufferMemory2
0.0,2486938,12339,201.6,180.0,20,7645,137.7,vkResetQueryPoolEXT
0.0,2396902,12,199741.8,66895.0,34244,1049232,341650.1,vkFreeMemory
0.0,927372,572,1621.3,601.0,160,98173,4412.2,vkCreateImage
0.0,225895,103,2193.2,2334.0,1021,7464,995.8,vkCreateEvent
0.0,212807,43,4949.0,3657.0,611,19857,4522.9,vkAllocateCommandBuffers
0.0,72741,53,1372.5,1051.0,200,3727,965.4,vkCreateRenderPass2KHR
0.0,63866,196,325.8,130.0,50,6011,775.0,vkCreateFramebuffer
0.0,41274,44,938.0,871.5,531,1743,296.2,vkBindBufferMemory
0.0,4037,2,2018.5,2018.5,892,3145,1593.1,vkTrimCommandPool
0.0,3407,21,162.2,140.0,30,511,152.8,vkMapMemory
0.0,1182,1,1182.0,1182.0,1182,1182,0.0,vkDestroySemaphore
0.0,811,1,811.0,811.0,811,811,0.0,vkCreateCommandPool
