Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.0,2638096289950,2901939,909080.5,53710.0,1001,72246678091,60228137.5,pthread_cond_wait
17.8,681232429013,218377,3119524.6,310209.0,1001,61108235908,134160829.9,pthread_cond_timedwait
8.0,304011116725,204020,1490104.5,20749.0,1001,100165731,9602909.9,poll
2.5,94505613201,946,99900225.4,100113483.5,2705,100174076,4599901.0,select
2.4,93104642661,14761,6307475.3,6307706.0,6256721,7003606,10135.6,usleep
0.1,4779434926,3175,1505333.8,8345.0,1001,50953377,5634704.7,pthread_rwlock_wrlock
0.1,2388475375,1554030,1537.0,1323.0,1001,760450,1334.4,pthread_cond_broadcast
0.0,1383489571,205,6748729.6,1057145.0,1013984,200061988,27806119.4,nanosleep
0.0,828054573,5779,143286.8,51646.0,1032,30877115,645711.0,ioctl
0.0,524192152,23534,22273.8,7995.0,1001,9414411,223793.1,pthread_mutex_lock
0.0,430290062,250152,1720.1,1382.0,1001,167283,1483.5,pthread_cond_signal
0.0,269098076,1008,266962.4,12508.0,1052,4451488,635637.4,pthread_rwlock_rdlock
0.0,118376802,60981,1941.2,1373.0,1001,296504,2094.2,recvmsg
0.0,116650912,34929,3339.7,3066.0,1022,329706,2817.5,send
0.0,106271585,28033,3790.9,3547.0,1012,52238,1246.4,writev
0.0,92149772,4,23037443.0,22215069.0,65893,47653741,26542647.2,pthread_join
0.0,77095530,3009,25621.6,11682.0,1403,209591,26233.1,munmap
0.0,43781970,26502,1652.0,1433.0,1001,98965,1510.7,write
0.0,31401091,29445,1066.4,1042.0,1001,10330,232.0,openat64
0.0,28658399,4,7164599.8,8766099.5,398705,10727495,4606222.3,sem_wait
0.0,21058353,3176,6630.5,1212.0,1001,375302,13470.9,read
0.0,16097508,1,16097508.0,16097508.0,16097508,16097508,0.0,waitpid
0.0,11545409,1619,7131.2,6131.0,1472,73017,4087.8,mmap
0.0,7491899,307,24403.6,7935.0,2194,977235,93545.8,mmap64
0.0,5173017,1452,3562.7,1482.0,1001,78697,5893.0,fread
0.0,4010136,80,50126.7,44863.5,28353,107180,14408.6,pthread_create
0.0,2477958,44,56317.2,1613.0,1002,2325034,350036.5,fgets
0.0,2267572,738,3072.6,2355.0,1002,43220,3489.6,open64
0.0,1798878,1042,1726.4,1503.0,1002,16831,1033.1,fopen
0.0,1459879,4,364969.8,133224.0,1213,1192218,565217.9,futex
0.0,638315,186,3431.8,2815.5,1303,28984,2550.4,mprotect
0.0,609134,235,2592.1,1272.0,1002,44383,4000.2,close
0.0,588290,297,1980.8,1352.0,1032,12654,1754.6,open
0.0,548164,2,274082.0,274082.0,262250,285914,16733.0,sem_timedwait
0.0,533925,274,1948.6,1738.0,1192,6412,573.9,fopen64
0.0,525527,357,1472.1,1222.0,1001,10921,1187.9,recv
0.0,404101,183,2208.2,1462.0,1022,11692,1956.2,fclose
0.0,226864,1,226864.0,226864.0,226864,226864,0.0,fork
0.0,193521,45,4300.5,4389.0,1102,9598,2130.9,fstat64
0.0,147756,1,147756.0,147756.0,147756,147756,0.0,popen
0.0,126324,40,3158.1,3401.0,1002,10289,2357.5,stat64
0.0,101892,37,2753.8,2425.0,1172,6843,1489.7,sendmsg
0.0,68849,15,4589.9,3356.0,2285,13996,3074.1,socket
0.0,56233,11,5112.1,5330.0,1843,8956,1875.6,connect
0.0,28874,7,4124.9,3747.0,2455,7784,1686.9,socketpair
0.0,19287,9,2143.0,1353.0,1012,4368,1503.9,statx
0.0,12704,5,2540.8,2565.0,1012,4769,1589.4,getc
0.0,10600,3,3533.3,2785.0,1062,6753,2918.4,bind
0.0,9418,2,4709.0,4709.0,4108,5310,849.9,ftruncate
0.0,6973,2,3486.5,3486.5,3306,3667,255.3,pipe
0.0,5952,1,5952.0,5952.0,5952,5952,0.0,pipe2
0.0,5892,3,1964.0,2024.0,1463,2405,473.9,lockf
0.0,4629,1,4629.0,4629.0,4629,4629,0.0,memfd_create
0.0,4589,1,4589.0,4589.0,4589,4589,0.0,fstat
0.0,4478,1,4478.0,4478.0,4478,4478,0.0,getdelim
0.0,3526,1,3526.0,3526.0,3526,3526,0.0,fstatat
0.0,3467,3,1155.7,1192.0,1002,1273,139.1,stat
0.0,3386,2,1693.0,1693.0,1302,2084,553.0,fwrite
0.0,3106,1,3106.0,3106.0,3106,3106,0.0,fwrite_unlocked
0.0,3106,2,1553.0,1553.0,1232,1874,454.0,fcntl64
0.0,2835,2,1417.5,1417.5,1212,1623,290.6,flock
0.0,2665,1,2665.0,2665.0,2665,2665,0.0,fputs_unlocked
0.0,1433,1,1433.0,1433.0,1433,1433,0.0,prctl
0.0,1232,1,1232.0,1232.0,1232,1232,0.0,sigaction
0.0,1102,1,1102.0,1102.0,1102,1102,0.0,fcntl
