#separator:Tab
#html:true
#notetype:Basic
#deck:Egzamin Magisterski ISY
#columns:Front	Back	Tags
#tags column:3

Porównać 'siłę wyrazu' automatu skończonego, automatu ze stosem oraz maszyny Turinga. Jakie klasy języków rozpoznaje każdy z nich?	<b>Automat Skończony (FA)</b>: Języki regularne (Typ 3)<br><br><b>Automat ze Stosem (PDA)</b>: Języki bezkontekstowe (Typ 2)<br><br><b>Maszyna Turinga (TM)</b>: Języki rekurencyjnie przeliczalne (Typ 0)	egzamin_magisterski pyt01 AISDI pytanie_glowne
Wyjaśnij: Hierarchia Chomsky'ego - fundament teoretyczny	Noam Chomsky w 1956 roku zaproponował hierarchię czterech klas języków formalnych, gdzie każda kolejna klasa zawiera poprzednią:	egzamin_magisterski pyt01 AISDI szczegoly
Wyjaśnij: Automat Skończony (Finite Automaton - FA)	Automat skończony to piątka: <b>M = (Q, Σ, δ, q₀, F)</b>
- <b>Q</b> - skończony zbiór stanów<br>• <b>Pamięć</b>: Brak pamięci pomocniczej - tylko aktualny stan<br>• <b>Moc obliczeniowa</b>: Nie potrafi &quot;liczyć&quot; (porównywać ilości)<br>• <b>Równoważne formalizmy</b>	egzamin_magisterski pyt01 AISDI szczegoly
Wyjaśnij: Automat ze Stosem (Pushdown Automaton - PDA)	Automat ze stosem to siódemka: <b>M = (Q, Σ, Γ, δ, q₀, Z₀, F)</b>
- <b>Q</b> - skończony zbiór stanów<br>• <b>Pamięć</b>: Stos (LIFO) - pamięć potencjalnie nieskończona, ale z ograniczonym dostępem<br>• <b>Moc obliczeniowa</b>: Potrafi &quot;liczyć&quot; (porównywać pary ilości)<br>• <b>DPDA ⊂ NPDA</b>: Deterministyczne PDA są SŁABSZE niż niedeterministyczne!<br>• <b>Równoważne formalizmy</b>: Gramatyki bezkontekstowe (CFG)	egzamin_magisterski pyt01 AISDI szczegoly
Wyjaśnij: Maszyna Turinga (Turing Machine - TM)	Maszyna Turinga to siódemka: <b>M = (Q, Σ, Γ, δ, q₀, qaccept, qreject)</b>
- <b>Q</b> - skończony zbiór stanów<br>• <b>Pamięć</b>: Taśma nieskończona z dostępem swobodnym (R/W)<br>• <b>Moc obliczeniowa</b>: Maksymalna możliwa (teza Churcha-Turinga)<br>• <b>DTM ≡ NTM</b>: Deterministyczne i niedeterministyczne TM są RÓWNOWAŻNE pod względem mocy (ale różnią się złożonością czasową)	egzamin_magisterski pyt01 AISDI szczegoly
Omówić i porównać algorytmy najkrótszej ścieżki wskazując ich kluczowe właściwości i logikę budowy: Dijkstry, Belmana-Forda, A*.	<b>Problem:</b> Dany jest graf G = (V, E) z funkcją wag w: E → ℝ. Znajdź ścieżkę z wierzchołka źródłowego s do wierzchołka docelowego t o minimalnej sumie wag krawędzi.	egzamin_magisterski pyt02 AISDI pytanie_glowne
Wyjaśnij: Wprowadzenie - problem najkrótszej ścieżki	<b>Problem:</b> Dany jest graf G = (V, E) z funkcją wag w: E → ℝ. Znajdź ścieżkę z wierzchołka źródłowego s do wierzchołka docelowego t o minimalnej sumie wag krawędzi.	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Charakterystyka	• <b>Autor:</b>: Edsger Dijkstra (1956, opublikowany 1959)<br>• <b>Typ:</b>: Zachłanny (greedy)<br>• <b>Problem:</b>: SSSP - najkrótsze ścieżki z jednego źródła do wszystkich wierzchołków<br>• <b>Ograniczenie:</b>: ⚠️ <b>Tylko nieujemne wagi krawędzi</b> (w(e) ≥ 0)	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Idea algorytmu (logika budowy)	1. <b>Relaksacja:</b> Stopniowe ulepszanie oszacowań odległości	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Pseudokod	Q ← priority_queue(V) // min-heap według d[v]	egzamin_magisterski pyt02 AISDI szczegoly
Dlaczego nie działa dla ujemnych wag?	Dijkstra przetwarza wierzchołki w kolejności rosnącej odległości i oznacza je jako &quot;zakończone&quot;. Jeśli waga może być ujemna, późniejszy wierzchołek może &quot;poprawić&quot; już zakończony.	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Złożoność czasowa	<b>O(V · E)</b> - zawsze, niezależnie od implementacji	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Wykrywanie cyklu ujemnego	Po |V|-1 iteracjach, wszystkie najkrótsze ścieżki (bez cykli) są znalezione.	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Optymalizacja: wczesne zakończenie	if d[u] + w(u,v) < d[v]:	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Heurystyka - kluczowy element	1. <b>Dopuszczalność (Admissibility):</b>	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Przypadki specjalne:	• <b>h(n) = 0:</b>: A* = Dijkstra	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Dijkstra	• <b>Nawigacja GPS</b>: (drogi nie mają ujemnych odległości)<br>• <b>Routing w sieciach</b>: (OSPF protocol)<br>• <b>Mapy Google/Apple</b>: (dla małych obszarów)	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: Bellman-Ford	• <b>Routing w sieciach</b>: (RIP protocol - prostszy)<br>• <b>Arbitraż walutowy</b>: (szukanie cykli ujemnych = zysk!)<br>• <b>Systemy z &quot;karami&quot;</b>: (ujemne wagi = bonusy)	egzamin_magisterski pyt02 AISDI szczegoly
Wyjaśnij: A*	• <b>Gry komputerowe</b>: - pathfinding NPC, RTS<br>• <b>Robotyka</b>: - planowanie ruchu<br>• <b>Puzzle</b>: - 8-puzzle, 15-puzzle<br>• <b>Nawigacja</b>: - gdy znamy pozycję celu<br>• <b>Dijkstra:</b>: Relaksuje krawędzie wychodzące z wierzchołka o minimalnym d[v]	egzamin_magisterski pyt02 AISDI szczegoly
Omówić zagadnienia redundancji i normalizacji w relacyjnej bazie danych oraz wynikające z tego wymagania.	<b>Redundancja</b> (nadmiarowość) i <b>normalizacja</b> to dwa fundamentalne, przeciwstawne pojęcia w projektowaniu relacyjnych baz danych:	egzamin_magisterski pyt03 BD2 pytanie_glowne
Wyjaśnij: Wprowadzenie	• <b>Redundancja</b>: = niepożądane powtarzanie danych<br>• <b>Normalizacja</b>: = proces eliminacji redundancji poprzez dekompozycję relacji	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Definicja	<b>Redundancja</b> występuje, gdy ta sama informacja jest przechowywana w wielu miejscach bazy danych, co prowadzi do:	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Trzy typy anomalii	<b>Problem:</b> Nie można dodać danych bez dodania innych, niepotrzebnych danych.	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Podstawowe pojęcia	<b>X → Y</b> oznacza: wartość X jednoznacznie określa wartość Y	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Hierarchia postaci normalnych	5NF ⊂ 4NF ⊂ BCNF ⊂ 3NF ⊂ 2NF ⊂ 1NF	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: 1NF - Pierwsza Postać Normalna	1. <b>Atomowość wartości</b> - każda komórka zawiera jedną, niepodzielną wartość	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: 2NF - Druga Postać Normalna	2. <b>Każdy atrybut wtórny jest w pełni funkcyjnie zależny od całego klucza głównego</b> (nie od jego części)	egzamin_magisterski pyt03 BD2 szczegoly
